,albumID,track_number,id,name,uri,artistID
0,7xV2TzoaVc0ycW7fwBwAml,1,45S5WTQEGOB1VHr1Q4FuPl,Golden,spotify:track:45S5WTQEGOB1VHr1Q4FuPl,6KImCVD70vtIoJWnq6nGn3
1,7xV2TzoaVc0ycW7fwBwAml,2,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3
2,7xV2TzoaVc0ycW7fwBwAml,3,3jjujdWJ72nww5eGnfs2E7,Adore You,spotify:track:3jjujdWJ72nww5eGnfs2E7,6KImCVD70vtIoJWnq6nGn3
3,7xV2TzoaVc0ycW7fwBwAml,4,4jAIqgrPjKLTY9Gbez25Qb,Lights Up,spotify:track:4jAIqgrPjKLTY9Gbez25Qb,6KImCVD70vtIoJWnq6nGn3
4,7xV2TzoaVc0ycW7fwBwAml,5,2IOFZdYYkFxEHVz1w34PoL,Cherry,spotify:track:2IOFZdYYkFxEHVz1w34PoL,6KImCVD70vtIoJWnq6nGn3
5,7xV2TzoaVc0ycW7fwBwAml,6,1ZMiCix7XSAbfAJlEZWMCp,Falling,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,6KImCVD70vtIoJWnq6nGn3
6,7xV2TzoaVc0ycW7fwBwAml,7,5JiH89mHrv9oWHlD0T326z,To Be So Lonely,spotify:track:5JiH89mHrv9oWHlD0T326z,6KImCVD70vtIoJWnq6nGn3
7,7xV2TzoaVc0ycW7fwBwAml,8,6SQLk9HSNketfgs2AyIiMs,She,spotify:track:6SQLk9HSNketfgs2AyIiMs,6KImCVD70vtIoJWnq6nGn3
8,7xV2TzoaVc0ycW7fwBwAml,9,6iYMfxznTBlcVOgRHab2W0,"Sunflower, Vol. 6",spotify:track:6iYMfxznTBlcVOgRHab2W0,6KImCVD70vtIoJWnq6nGn3
9,7xV2TzoaVc0ycW7fwBwAml,10,5IhzJOXNE7ki0IIJbZbnGq,Canyon Moon,spotify:track:5IhzJOXNE7ki0IIJbZbnGq,6KImCVD70vtIoJWnq6nGn3
10,7xV2TzoaVc0ycW7fwBwAml,11,03mMSLEJCPoGJwQhHpN5y0,Treat People With Kindness,spotify:track:03mMSLEJCPoGJwQhHpN5y0,6KImCVD70vtIoJWnq6nGn3
11,7xV2TzoaVc0ycW7fwBwAml,12,6VzcQuzTNTMFnJ6rBSaLH9,Fine Line,spotify:track:6VzcQuzTNTMFnJ6rBSaLH9,6KImCVD70vtIoJWnq6nGn3
12,1FZKIm3JVDCxTchXDo5jOV,1,4u9Y4Z9i9VaAbBK7rW1Rha,Meet Me in the Hallway,spotify:track:4u9Y4Z9i9VaAbBK7rW1Rha,6KImCVD70vtIoJWnq6nGn3
13,1FZKIm3JVDCxTchXDo5jOV,2,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,spotify:track:5Ohxk2dO5COHF1krpoPigN,6KImCVD70vtIoJWnq6nGn3
14,1FZKIm3JVDCxTchXDo5jOV,3,3Dwq1oiOFys6Sxr5SslmXw,Carolina,spotify:track:3Dwq1oiOFys6Sxr5SslmXw,6KImCVD70vtIoJWnq6nGn3
15,1FZKIm3JVDCxTchXDo5jOV,4,4B1rpPmQXwj78wk6aIGwwU,Two Ghosts,spotify:track:4B1rpPmQXwj78wk6aIGwwU,6KImCVD70vtIoJWnq6nGn3
16,1FZKIm3JVDCxTchXDo5jOV,5,5kRPPEWFJIMox5qIkQkiz5,Sweet Creature,spotify:track:5kRPPEWFJIMox5qIkQkiz5,6KImCVD70vtIoJWnq6nGn3
17,1FZKIm3JVDCxTchXDo5jOV,6,5Lbsc65org0b85kNsPkluY,Only Angel,spotify:track:5Lbsc65org0b85kNsPkluY,6KImCVD70vtIoJWnq6nGn3
18,1FZKIm3JVDCxTchXDo5jOV,7,33SNO8AaciGbNaQFkxvPrW,Kiwi,spotify:track:33SNO8AaciGbNaQFkxvPrW,6KImCVD70vtIoJWnq6nGn3
19,1FZKIm3JVDCxTchXDo5jOV,8,5LABCxgmP7DATATIJXOh6n,Ever Since New York,spotify:track:5LABCxgmP7DATATIJXOh6n,6KImCVD70vtIoJWnq6nGn3
20,1FZKIm3JVDCxTchXDo5jOV,9,33bURv895AN4FkBvgFo2dx,Woman,spotify:track:33bURv895AN4FkBvgFo2dx,6KImCVD70vtIoJWnq6nGn3
21,1FZKIm3JVDCxTchXDo5jOV,10,1IF5UcqRO42D12vYwceOY6,From the Dining Table,spotify:track:1IF5UcqRO42D12vYwceOY6,6KImCVD70vtIoJWnq6nGn3
